Method,Name,Error,Occurrences,First Seen,Last Seen
GET,/api/admin/users?page=1&limit=20&is_active=false,CatchResponseError(502),3,2026-06-22T13:21:11Z,2026-06-22T13:21:17Z
GET,/api/admin/users?page=2&limit=20&is_active=true,CatchResponseError(502),5,2026-06-22T13:20:59Z,2026-06-22T13:21:20Z
POST,/orders [POST],CatchResponseError(504),1,2026-06-22T13:21:22Z,2026-06-22T13:21:22Z
GET,/orders [admin list],CatchResponseError(502),116,2026-06-22T13:20:58Z,2026-06-22T13:21:22Z
GET,/api/admin/logs?limit=30,CatchResponseError(502),109,2026-06-22T13:20:22Z,2026-06-22T13:21:22Z
GET,/api/admin/users?page=5&limit=20&is_active=true,CatchResponseError(502),7,2026-06-22T13:21:01Z,2026-06-22T13:21:17Z
GET,/api/admin/users?page=5&limit=20,CatchResponseError(502),13,2026-06-22T13:20:56Z,2026-06-22T13:21:21Z
GET,/orders [user list],CatchResponseError(502),423,2026-06-22T13:20:58Z,2026-06-22T13:21:22Z
GET,/api/admin/users?page=1&limit=20&is_active=true,CatchResponseError(502),5,2026-06-22T13:21:00Z,2026-06-22T13:21:18Z
GET,/api/admin/users?page=3&limit=20&is_active=true,CatchResponseError(502),1,2026-06-22T13:21:09Z,2026-06-22T13:21:09Z
GET,/api/admin/users?page=2&limit=20,CatchResponseError(502),12,2026-06-22T13:20:59Z,2026-06-22T13:21:22Z
GET,/api/admin/users?page=5&limit=20&is_active=false,CatchResponseError(502),5,2026-06-22T13:20:58Z,2026-06-22T13:21:21Z
GET,/api/admin/users?page=3&limit=20,CatchResponseError(502),12,2026-06-22T13:20:58Z,2026-06-22T13:21:20Z
GET,/api/admin/users?page=3&limit=20&is_active=false,CatchResponseError(502),3,2026-06-22T13:21:16Z,2026-06-22T13:21:17Z
GET,/api/admin/users?page=4&limit=20&is_active=true,CatchResponseError(502),1,2026-06-22T13:21:17Z,2026-06-22T13:21:17Z
POST,/orders [POST],CatchResponseError(502),599,2026-06-22T13:20:57Z,2026-06-22T13:21:22Z
GET,/products?[filters],CatchResponseError(502),3407,2026-06-22T13:20:23Z,2026-06-22T13:21:22Z
GET,/products/<id>,CatchResponseError(502),1694,2026-06-22T13:20:56Z,2026-06-22T13:21:22Z
GET,/api/admin/users?page=4&limit=20,CatchResponseError(502),13,2026-06-22T13:21:00Z,2026-06-22T13:21:20Z
GET,/api/admin/stats,CatchResponseError(502),485,2026-06-22T13:20:22Z,2026-06-22T13:21:22Z
GET,/api/admin/users?page=1&limit=20,CatchResponseError(502),9,2026-06-22T13:20:59Z,2026-06-22T13:21:22Z
GET,/products [init],HTTPError('502 Server Error: Bad Gateway for url: /products [init]'),344,2026-06-22T13:20:22Z,2026-06-22T13:21:22Z
GET,/api/admin/users?page=4&limit=20&is_active=false,CatchResponseError(502),3,2026-06-22T13:21:10Z,2026-06-22T13:21:18Z
GET,/api/admin/users?page=2&limit=20&is_active=false,CatchResponseError(502),5,2026-06-22T13:21:03Z,2026-06-22T13:21:21Z
