Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/admin/logs?limit=30,121,119,81,6210.0596239680635,56.498899997677654,30339.89840000868,148.4793388429752,2.0092215330683816,1.976011259794524,81,120,220,22000,30000,30000,30000,30000,30000,30000,30000
GET,/api/admin/stats,626,600,83,5694.911807668102,56.248500011861324,30341.944800049532,256.29872204472844,10.394815534717413,9.963081982157265,83,140,200,280,30000,30000,30000,30000,30000,30000,30000
GET,/api/admin/users?page=1&limit=20,11,9,65,7230.258154545233,60.857500007841736,30099.833799991757,1298.1818181818182,0.18265650300621653,0.14944622973235897,65,91,24000,24000,25000,30000,30000,30000,30000,30000,30000
GET,/api/admin/users?page=1&limit=20&is_active=false,1,1,68.17450001835823,68.17450001835823,68.17450001835823,68.17450001835823,150.0,0.016605136636928773,0.016605136636928773,68,68,68,68,68,68,68,68,68,68,68
GET,/api/admin/users?page=1&limit=20&is_active=true,2,2,68.10620002215728,15068.654650007375,68.10620002215728,30069.203099992592,150.0,0.033210273273857546,0.033210273273857546,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
GET,/api/admin/users?page=2&limit=20,4,3,71,6016.57974999398,63.983700005337596,23854.965000005905,1730.25,0.06642054654771509,0.049815409910786326,76,76,24000,24000,24000,24000,24000,24000,24000,24000,24000
GET,/api/admin/users?page=3&limit=20,5,4,160,11704.70176001545,64.19519998598844,30104.533299978357,1086.6,0.08302568318464387,0.06642054654771509,160,28000,28000,30000,30000,30000,30000,30000,30000,30000,30000
GET,/api/admin/users?page=3&limit=20&is_active=false,4,3,63,7164.28095001902,58.121200010646135,28436.240800016094,127.0,0.06642054654771509,0.049815409910786326,100,100,28000,28000,28000,28000,28000,28000,28000,28000,28000
GET,/api/admin/users?page=3&limit=20&is_active=true,1,0,22898.47060001921,22898.47060001921,22898.47060001921,22898.47060001921,4833.0,0.016605136636928773,0.0,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000
GET,/api/admin/users?page=4&limit=20,10,8,65,5280.880959995557,57.135699957143515,28486.564200022258,131.8,0.16605136636928775,0.13284109309543018,78,180,260,24000,28000,28000,28000,28000,28000,28000,28000
GET,/api/admin/users?page=4&limit=20&is_active=false,4,4,67,85.73289998457767,58.417599997483194,144.780799979344,150.0,0.06642054654771509,0.06642054654771509,72,72,140,140,140,140,140,140,140,140,140
GET,/api/admin/users?page=5&limit=20,8,8,65,87.49693749996368,59.297400002833456,224.4819999905303,150.0,0.13284109309543018,0.13284109309543018,65,73,85,85,220,220,220,220,220,220,220
GET,/api/admin/users?page=5&limit=20&is_active=false,7,6,87,4134.5569428605295,63.78500000573695,28364.081499981694,136.85714285714286,0.11623595645850142,0.09963081982157265,87,87,190,190,28000,28000,28000,28000,28000,28000,28000
GET,/api/admin/users?page=5&limit=20&is_active=true,1,1,62.05250002676621,62.05250002676621,62.05250002676621,62.05250002676621,150.0,0.016605136636928773,0.016605136636928773,62,62,62,62,62,62,62,62,62,62,62
POST,/auth/login [admin],200,0,700,11407.393143000081,345.982400001958,30377.157100010663,222.2,3.321027327385755,0.0,14000,18000,22000,23000,28000,30000,30000,30000,30000,30000,30000
POST,/auth/login [user],800,0,19000,17314.28098675031,142.50620000530034,30431.685799965635,211.4225,13.28410930954302,0.0,19000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
POST,/orders [POST],963,938,74,2760.7308347870985,54.401199973654,30337.670199980494,169.44444444444446,15.99074658136241,15.57561816543919,74,93,120,160,290,30000,30000,30000,30000,30000,30000
GET,/orders [admin list],124,107,79,5938.987921775063,57.605399983003736,30343.130799999926,1674.8709677419354,2.059036942979168,1.7767496201513788,80,120,240,24000,29000,30000,30000,30000,30000,30000,30000
GET,/orders [user list],635,622,73,2022.4640488181828,56.19700002716854,30328.276499989443,263.1732283464567,10.544261764449772,10.328394988169698,73,90,110,140,240,28000,30000,30000,30000,30000,30000
GET,/orders/<id>,187,187,74,90.79395079852037,56.06000003172085,306.8247999763116,150.0,3.105160551105681,3.105160551105681,74,86,99,110,140,180,260,270,310,310,310
PUT,/orders/<id>/status [PUT],42,42,67,89.28729286500518,59.01250004535541,213.19530002074316,150.0,0.6974157387510085,0.6974157387510085,67,71,80,100,180,190,210,210,210,210,210
GET,/products [init],197,110,170,162.80230152010586,91.88730001915246,205.47699998132885,4007.5888324873094,3.2712119174749685,1.8265650300621652,170,170,180,180,180,190,190,200,210,210,210
GET,/products/<id>,2441,2394,72,1607.6988723063791,55.221699993126094,30334.37180001056,153.2748873412536,40.53313853074314,39.75269710880749,72,88,100,120,210,21000,30000,30000,30000,30000,30000
GET,/products?[filters],5060,4949,72,1492.9477898616005,54.935499967541546,30258.11260001501,190.90770750988142,84.0219913828596,82.1788212161605,72,85,100,120,200,330,30000,30000,30000,30000,30000
,Aggregated,11454,10117,77,3229.1659819538268,54.401199973654,30431.685799965635,273.3188405797101,190.19523503938217,167.9941673558084,77,100,160,200,19000,30000,30000,30000,30000,30000,30000
