Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/admin/logs?limit=30,142,142,65,2419.8601718300883,56.29390000831336,30257.181600027252,150.0,2.3611941485950374,2.3611941485950374,65,74,110,150,340,30000,30000,30000,30000,30000,30000
GET,/api/admin/stats,601,601,65,2243.619195507826,54.9925000523217,30262.21929996973,150.0,9.993504812011391,9.993504812011391,65,79,130,180,280,30000,30000,30000,30000,30000,30000
GET,/api/admin/users?page=1&limit=20,14,14,100,8671.35217143472,57.820199988782406,30190.331800025888,150.0,0.23279378929810227,0.23279378929810227,100,270,30000,30000,30000,30000,30000,30000,30000,30000,30000
GET,/api/admin/users?page=1&limit=20&is_active=false,4,4,60,15064.233299985062,59.89650002447888,30072.718199982774,150.0,0.06651251122802922,0.06651251122802922,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
GET,/api/admin/users?page=1&limit=20&is_active=true,1,1,30074.695399962366,30074.695399962366,30074.695399962366,30074.695399962366,150.0,0.016628127807007304,0.016628127807007304,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
GET,/api/admin/users?page=2&limit=20,11,11,67,2804.3138000013478,58.14109998755157,30061.20799999917,150.0,0.18290940587708035,0.18290940587708035,67,70,85,85,190,30000,30000,30000,30000,30000,30000
GET,/api/admin/users?page=2&limit=20&is_active=false,3,3,270,10134.858599999765,58.73069999506697,30079.791099997237,150.0,0.049884383421021916,0.049884383421021916,270,270,30000,30000,30000,30000,30000,30000,30000,30000,30000
GET,/api/admin/users?page=2&limit=20&is_active=true,2,2,61,63.90375000773929,60.749399999622256,67.05810001585633,150.0,0.03325625561401461,0.03325625561401461,67,67,67,67,67,67,67,67,67,67,67
GET,/api/admin/users?page=3&limit=20,13,13,61,2397.054838441993,57.96759994700551,30192.371999961324,150.0,0.21616566149109498,0.21616566149109498,61,62,63,67,300,30000,30000,30000,30000,30000,30000
GET,/api/admin/users?page=3&limit=20&is_active=false,6,6,68,73.28743332376082,58.97989997174591,107.90499998256564,150.0,0.09976876684204383,0.09976876684204383,69,69,72,72,110,110,110,110,110,110,110
GET,/api/admin/users?page=3&limit=20&is_active=true,3,3,66,10067.576566672264,61.72240001615137,30075.081299990416,150.0,0.049884383421021916,0.049884383421021916,66,66,30000,30000,30000,30000,30000,30000,30000,30000,30000
GET,/api/admin/users?page=4&limit=20,11,11,64,92.764336372387,58.072399988304824,291.9419000390917,150.0,0.18290940587708035,0.18290940587708035,64,81,95,95,120,290,290,290,290,290,290
GET,/api/admin/users?page=4&limit=20&is_active=false,3,3,68,66.47226664548118,61.80239998502657,69.6345999604091,150.0,0.049884383421021916,0.049884383421021916,68,68,70,70,70,70,70,70,70,70,70
GET,/api/admin/users?page=4&limit=20&is_active=true,4,4,65,15088.04342498479,59.881399967707694,30157.21829998074,150.0,0.06651251122802922,0.06651251122802922,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
GET,/api/admin/users?page=5&limit=20,8,8,79,11340.039574999537,59.88800001796335,30072.515599953476,150.0,0.13302502245605843,0.13302502245605843,250,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
GET,/api/admin/users?page=5&limit=20&is_active=false,3,3,71,10070.607733350093,64.3119000014849,30076.132100017276,150.0,0.049884383421021916,0.049884383421021916,71,71,30000,30000,30000,30000,30000,30000,30000,30000,30000
GET,/api/admin/users?page=5&limit=20&is_active=true,2,2,59,59.88605000311509,58.81219997536391,60.959900030866265,150.0,0.03325625561401461,0.03325625561401461,61,61,61,61,61,61,61,61,61,61,61
POST,/auth/login [admin],200,0,30000,22658.721475997874,4539.949900005013,30442.111400014255,233.01,3.325625561401461,0.0,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
POST,/auth/login [user],800,0,30000,25367.433661625473,4619.179800036363,30517.67710002605,211.90625,13.302502245605844,0.0,30000,30000,30000,30000,30000,30000,31000,31000,31000,31000,31000
GET,/orders [admin list],143,143,63,4484.108899999655,55.553499958477914,30327.255200012587,150.0,2.3778222764020445,2.3778222764020445,63,68,89,110,30000,30000,30000,30000,30000,30000,30000
GET,/orders [user list],495,495,63,78.78113191991085,54.51129999710247,396.50869998149574,150.0,8.230923264468617,8.230923264468617,63,66,70,73,110,180,270,320,400,400,400
GET,/products [init],800,800,230,10920.068150250667,101.44669999135658,30268.89459998347,150.0,13.302502245605844,13.302502245605844,230,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
GET,/products?[filters],4593,4593,64,91.3959239278923,54.61450002621859,456.5400999854319,150.0,76.37299101758455,76.37299101758455,64,71,86,100,190,250,290,320,390,460,460
,Aggregated,7862,6862,70,4689.814959120004,54.51129999710247,30517.67710002605,158.4109641312643,130.73034081869145,114.10221301168413,70,140,210,280,30000,30000,30000,30000,31000,31000,31000
